Sampling,Normalization,Bone,Incidence,Fusion,Pretraining,TPR,TNR,AUC,MCC,TPN,CV,Model
NewSphere,GroupNorm,Tibia,Pain,AllFusion,ImageNet,0.601,0.77,0.7440000000000001,0.364,2.114,3.480597628321201,ImageNetResnet50Finetuned1e4
NewSphere,GroupNorm,Tibia,Pain,AllFusion,Random,0.523,0.8240000000000001,0.722,0.359,2.069,6.378227368813755,RandomResnet18Finetuned1e4
NewSphere,GroupNorm,Tibia,Pain,Bone,Diagnosis,0.5379999999999999,0.831,0.74,0.381,2.109,0.5777034643562607,DiagnosisResnet50Finetuned1e5
NewSphere,GroupNorm,Tibia,Pain,Bone,ImageNet,0.645,0.715,0.7490000000000001,0.344,2.108,8.208904166064368,ImageNetResnet50Finetuned1e4
NewSphere,GroupNorm,Tibia,Pain,Bone,Random,0.555,0.7929999999999999,0.7020000000000001,0.35,2.049,10.071532575086795,RandomResnet34Finetuned1e4
NewSphere,GroupNorm,Tibia,Pain,BoneCartFusion,Diagnosis,0.504,0.846,0.74,0.371,2.09,0.5533496962206844,DiagnosisResnet50Finetuned1e5
NewSphere,GroupNorm,Tibia,Pain,BoneCartFusion,ImageNet,0.606,0.746,0.741,0.342,2.093,5.097342364147627,ImageNetResnet50FirstLayerExtract1e4
NewSphere,GroupNorm,Tibia,Pain,BoneCartFusion,Random,0.589,0.7659999999999999,0.72,0.349,2.075,8.19892366486883,RandomResnet34Finetuned1e4
NewSphere,GroupNorm,Tibia,Pain,CartFusion,Diagnosis,0.504,0.831,0.7240000000000001,0.35,2.059,0.8783524347721973,DiagnosisResnet50Finetuned1e5
NewSphere,GroupNorm,Tibia,Pain,CartFusion,ImageNet,0.601,0.747,0.7120000000000001,0.33899999999999997,2.06,6.7939889677193,ImageNetResnet34Finetuned1e5
NewSphere,GroupNorm,Tibia,Pain,CartFusion,Random,0.594,0.779,0.727,0.368,2.1,7.134753554827358,RandomResnet18Finetuned1e4
NewSphere,GroupNorm,Tibia,Pain,T2Fusion,Diagnosis,0.521,0.8320000000000001,0.7340000000000001,0.36700000000000005,2.0869999999999997,1.5659431087863755,DiagnosisResnet50Finetuned1e6
NewSphere,GroupNorm,Tibia,Pain,T2Fusion,ImageNet,0.63,0.7170000000000001,0.711,0.33299999999999996,2.0580000000000003,6.391864891277786,ImageNetResnet50FirstLayerExtract1e5
NewSphere,GroupNorm,Tibia,Pain,T2Fusion,Random,0.569,0.7879999999999999,0.7,0.35700000000000004,2.057,5.606157745624128,RandomResnet18Finetuned1e4
NewSphere,GroupNorm,Tibia,Pain,Thickness,Diagnosis,0.509,0.813,0.7090000000000001,0.332,2.031,0.8425390795874388,DiagnosisResnet50FirstTwoLayersExtract1e5
NewSphere,GroupNorm,Tibia,Pain,Thickness,ImageNet,0.523,0.8390000000000001,0.7290000000000001,0.379,2.092,7.0676684100316685,ImageNetResnet50Finetuned1e5
NewSphere,GroupNorm,Tibia,Pain,Thickness,Random,0.608,0.72,0.721,0.316,2.049,8.042639218560787,RandomResnet18Finetuned1e4
